date,value
2014-01-01,5
2014-01-02,4
2014-01-03,6
2014-01-04,3
2014-01-05,2
2014-01-06,7
2014-01-07,1
2014-01-08,4
2014-01-09,3
2014-01-10,6
2014-01-11,2
2014-01-12,5
2014-01-13,1
2014-01-14,4
2014-01-15,5
2014-01-16,3
2014-01-17,6
2014-01-18,2
2014-01-19,7
2014-01-20,1
2014-01-21,5
2014-01-22,4
2014-01-23,2
2014-01-24,6
2014-01-25,3
2014-01-26,7
2014-01-27,1
2014-01-28,4
2014-01-29,5
2014-01-30,3
2014-01-31,6
2014-02-01,2
2014-02-02,7
2014-02-03,1
2014-02-04,4
2014-02-05,3
2014-02-06,5
2014-02-07,6
2014-02-08,2
2014-02-09,1
2014-02-10,4
2014-02-11,3
2014-02-12,5
2014-02-13,6
2014-02-14,2
2014-02-15,1
2014-02-16,4
2014-02-17,3
2014-02-18,5
2014-02-19,6
2014-02-20,2
2014-02-21,7
2014-02-22,1
2014-02-23,4
2014-02-24,3
2014-02-25,5
2014-02-26,6
2014-02-27,2
2014-02-28,1
2014-03-01,4
2014-03-02,3
2014-03-03,5
2014-03-04,6
2014-03-05,2
2014-03-06,7
2014-03-07,1
2014-03-08,4
2014-03-09,3
2014-03-10,5
2014-03-11,6
2014-03-12,2
2014-03-13,1
2014-03-14,4
2014-03-15,3
2014-03-16,5
2014-03-17,6
2014-03-18,2
2014-03-19,7
2014-03-20,1
2014-03-21,4
2014-03-22,3
2014-03-23,5
2014-03-24,6
2014-03-25,2
2014-03-26,1
2014-03-27,4
2014-03-28,3
2014-03-29,5
2014-03-30,6
2014-03-31,2
